fixture_id	dialect	profile	exact_release	calcite_version	parser_config	source_archive_url	sha512	git_tag	git_commit	source_url	heading	retrieval_date	category	expected_status	fixture_sha256	grammar_path	line_range	mode
flink-grammar.insert-into-select	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	RichSqlInsert	2026-08-07	positive	valid	af821953d5a015f0e4b46e2f4c2264dd332a955042aba9983050fb9764d2b606	parserImpls.ftl:2306-2379 (RichSqlInsert)	2306-2379	strict+editor
flink-grammar.insert-overwrite-partition	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	RichSqlInsert	2026-08-07	positive	valid	f9f325103b8743a97e656399632d47b270cb82292a31a2e8965fb6d9a2404426	parserImpls.ftl:2306-2379 (RichSqlInsert)	2306-2379	strict+editor
flink-grammar.insert-recovery	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	RichSqlInsert is_flink_insert_boundary	2026-08-07	recovery	recovered	07a636a8b98d2496c35c466e59b4142918e6f7fccfec3656f839155f59d45681	parserImpls.ftl:2306-2379 (RichSqlInsert is_flink_insert_boundary)	2306-2379	strict+editor
flink-grammar.match-recognize-all-rows	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	planner-prerequisite	valid	1e6f1d00fe098fcea38cf869bcac83e226cf00f4da2ed3d6a890a66df675d770	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (ALL ROWS PER MATCH + SKIP TO FIRST var)	3062-3346	strict+editor
flink-grammar.match-recognize-anchors	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	planner-prerequisite	valid	a582569399f5b6f4eb7482e9330e3ac5895f1675f8d3af8f2a50530c865485ab	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (PATTERN (^ A $) strict anchors)	3062-3346	strict+editor
flink-grammar.match-recognize-empty-pattern	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	negative	error	5eaab7916842e0186942a77f42db51b13215d5cd49a5a67ea2832363e0f47d42	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (negative: bare PATTERN ())	3062-3346	strict+editor
flink-grammar.match-recognize-exclude	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	known-limitation	valid	6bb48899c37141bb1d9b0dbc6eb1c965c07d24ea28af7dfcf7418411cc68f8ae	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) ({- -} PatternExclude known-limitation)	3062-3346	strict+editor
flink-grammar.match-recognize-full	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	planner-prerequisite	valid	c7cc98b9552c7abf28b4eb58780b991f93a4711b84b6bb530e95c121c22bc230	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (full PATTERN/DEFINE/MEASURES/skip/quantifiers (MatchRecognizeTest.scala:60-163))	3062-3346	strict+editor
flink-grammar.match-recognize-incomplete	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	recovery	recovered	af32aae0a04b4d74fd0240a45683539e39342a113363fedcddd904e8846a3403	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (incomplete: unclosed PATTERN (A (CST-01))	3062-3346	strict+editor
flink-grammar.match-recognize-measures-time	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	planner-prerequisite	valid	c6f6d1993537eb3b9d87aa4ee8b00781703f54d84b4de6939a4e0a6995a44acf	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (MATCH_ROWTIME()/MATCH_PROCTIME() measures)	3062-3346	strict+editor
