fixture_id	profile	exact_release	calcite_version	parser_config	source_archive_url	sha512	git_tag	git_commit
flink-2.3.0	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283
flink-2.1.3	flink-2.1.3	flink-2.1.3	1.34.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.1.3/flink-2.1.3-src.tgz	a1a35ee35d5d417b7445de1648510060d2c3281f7185eefe4d2fc74b9c77821b89bbc9de55f47dbf2053d20d87fbc4c5d90af9bba4fd9d9c75d0f3ce44d8b3fe	release-2.1.3	6cda56b084d5c337b36d2f8ed464bc92093b0a34
flink-1.20.5	flink-1.20.5	flink-1.20.5	1.32.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-1.20.5/flink-1.20.5-src.tgz	ce11ae5a81a2ba16d1c5f22e5025a743bccff4f54a3b9836e58956ac98720c73db5a1c4ab7c87436c6fecc2c5dd8dca2514acc29d5e1c36334c41265729e3add	release-1.20.5	0980485040c6dbec3a1b32da05c4b655cf01ad2b
